player_id,name,side,position_type,position_bucket,tag,age_baseline,age_bucket,pa_baseline,ip_baseline,baseline_war,war_bucket,causal_war,implied_delta_war,followup_war,actual_delta_war,followup_era,followup_ops,rank_diff,hit,basis
622250,Josh Sborz,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,250.0,52.333333333333336,-0.66,"[-1,0]",0.65,1.31,-0.01,0.65,3.859999895095825,,388,True,war_delta
519293,Will Smith,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,33.0,33+,238.0,57.333333333333336,0.04,"[0,1]",0.87,0.83,-0.91,-0.9500000000000001,6.53000020980835,,293,False,war_delta
519151,Ryan Pressly,buy_low,pitcher,RP,OTHER,34.0,33+,283.0,65.33333333333333,0.15,"[0,1]",1.02,0.87,0.4,0.25,3.9200000762939453,,289,True,war_delta
607481,Aaron Bummer,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,260.0,58.333333333333336,-0.99,"[-1,0]",0.08,1.07,0.56,1.55,3.4100000858306885,,279,True,war_delta
663158,Robert Suarez,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,32.0,29-32,105.0,27.666666666666668,0.03,"[0,1]",0.73,0.7,2.05,2.02,2.630000114440918,,277,True,war_delta
642397,Gregory Soto,buy_low,pitcher,RP,OTHER,28.0,25-28,260.0,60.333333333333336,0.03,"[0,1]",0.65,0.62,0.28,0.25,4.360000133514404,,260,True,war_delta
691023,Jordan Walker,buy_low,batter,OF,GENUINE EDGE?,21.0,<25,459.0,,-0.11,"[-1,0]",0.85,0.96,-0.83,-0.72,,0.6190000176429749,252,False,war_delta
605130,Scott Barlow,buy_low,pitcher,RP,OTHER,30.0,29-32,294.0,68.0,-0.09,"[-1,0]",0.4,0.49,0.18,0.27,4.25,,250,True,war_delta
664062,Tony Gonsolin,buy_low,pitcher,SP,OTHER,29.0,29-32,432.0,103.0,-0.22,"[-1,0]",0.29,0.51,,,,,244,,no_2026_record
656941,Kyle Schwarber,buy_low,batter,OF,GENUINE EDGE?,30.0,29-32,764.0,,0.66,"[0,1]",2.32,1.6599999999999997,3.29,2.63,,0.8429999947547913,229,True,war_delta
523260,Joe Kelly,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,35.0,33+,175.0,39.333333333333336,-0.06,"[-1,0]",0.33,0.39,-0.38,-0.32,4.78000020980835,,222,False,war_delta
543859,Michael Tonkin,buy_low,pitcher,RP,OTHER,33.0,33+,326.0,80.0,0.27,"[0,1]",0.73,0.45999999999999996,-0.15999999999999992,-0.42999999999999994,3.630000114440918,,218,False,war_delta
518397,Scott Alexander,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,33.0,33+,204.0,48.333333333333336,-0.23,"[-1,0]",0.16,0.39,1.22,1.45,2.559999942779541,,216,True,war_delta
663558,Jovani Morán,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,26.0,25-28,180.0,42.333333333333336,-0.32,"[-1,0]",0.07,0.39,,,,,215,,no_2026_record
663878,Nate Pearson,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,26.0,25-28,180.0,42.66666666666666,-0.27,"[-1,0]",0.09,0.36,-0.10999999999999999,0.16000000000000003,4.480000019073486,,213,True,war_delta
656222,Jalen Beeks,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,191.0,42.333333333333336,-0.65,"[-1,0]",-0.1,0.55,0.10999999999999999,0.76,4.5,,209,True,war_delta
622075,Yency Almonte,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,29.0,29-32,201.0,48.0,-0.52,"[-1,0]",-0.07,0.45,0.08,0.6,3.450000047683716,,208,True,war_delta
518585,Fernando Cruz,buy_low,pitcher,RP,OTHER,33.0,33+,274.0,66.0,0.28,"[0,1]",0.68,0.4,0.32,0.03999999999999998,4.860000133514404,,206,True,war_delta
518617,Jake Diekman,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,36.0,33+,241.0,56.66666666666667,0.2299999999999999,"[0,1]",0.62,0.3900000000000001,-0.8,-1.03,5.630000114440918,,205,False,war_delta
592669,Hunter Renfroe,buy_low,batter,OF,GENUINE EDGE?,31.0,29-32,540.0,,-0.51,"[-1,0]",-0.07,0.44,0.14,0.65,,0.6830000281333923,188,True,war_delta
606965,Chris Devenski,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,32.0,29-32,178.0,42.33333333333333,0.2699999999999999,"[0,1]",0.55,0.28000000000000014,-0.8,-1.0699999999999998,6.75,,186,False,war_delta
656290,Drew Carlton,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,27.0,25-28,82.0,20.666666666666668,-0.18,"[-1,0]",0.06,0.24,,,,,183,,no_2026_record
650559,Bryan De La Cruz,buy_low,batter,OF,GENUINE EDGE?,26.0,25-28,627.0,,-0.68,"[-1,0]",-0.21,0.4700000000000001,-1.13,-0.44999999999999984,,0.6539999842643738,182,False,war_delta
658668,Edward Olivares,buy_low,batter,OF,OTHER,27.0,25-28,381.0,,0.24,"[0,1]",0.56,0.32000000000000006,-0.67,-0.91,,0.6240000128746033,178,False,war_delta
573009,Joe Mantiply,buy_low,pitcher,RP,RELIEVER LEVERAGE GAP,32.0,29-32,188.0,39.0,0.08,"[0,1]",0.33,0.25,0.55,0.47000000000000003,3.9200000762939453,,178,True,war_delta
664728,Kyle Isbel,over_valued,batter,OF,DEFENSE GAP,26.0,25-28,309.0,,2.01,"[1,3]",-0.96,-2.9699999999999998,1.99,-0.019999999999999796,,0.6539999842643738,-259,True,war_delta
657376,Clarke Schmidt,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,691.0,159.0,0.69,"[0,1]",-1.02,-1.71,1.91,1.22,3.140000104904175,,-259,False,war_delta
670764,Taylor Walls,over_valued,batter,IF,DEFENSE GAP,26.0,25-28,353.0,,1.97,"[1,3]",-1.04,-3.01,1.42,-0.55,,0.5289999842643738,-267,True,war_delta
656775,Cedric Mullins,over_valued,batter,OF,DEFENSE GAP,28.0,25-28,457.0,,2.78,"[1,3]",-0.75,-3.53,2.36,-0.41999999999999993,,0.7210000157356262,-273,True,war_delta
656731,Tylor Megill,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,567.0,126.33333333333331,0.61,"[0,1]",-1.58,-2.19,0.47,-0.14,4.369999885559082,,-276,True,war_delta
571760,Andrew Heaney,over_valued,pitcher,SP,PARK FACTOR,32.0,29-32,686.0,147.33333333333334,0.95,"[0,1]",-0.82,-1.77,0.36,-0.59,4.28000020980835,,-277,True,war_delta
656629,Michael Kopech,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,591.0,129.33333333333334,0.59,"[0,1]",-2.01,-2.5999999999999996,1.3800000000000001,0.7900000000000001,3.4000000953674316,,-279,False,war_delta
668930,Brice Turang,over_valued,batter,IF,DEFENSE GAP,23.0,<25,444.0,,1.51,"[1,3]",-2.06,-3.5700000000000003,4.76,3.25,,0.6759999990463257,-282,False,war_delta
425844,Zack Greinke,over_valued,pitcher,SP,PARK FACTOR,39.0,33+,567.0,142.33333333333334,1.08,"[1,3]",-0.88,-1.96,,,,,-303,,no_2026_record
668881,Hunter Greene,over_valued,pitcher,SP,PARK FACTOR,23.0,<25,477.0,112.0,0.99,"[0,1]",-0.96,-1.95,6.03,5.04,2.75,,-305,False,war_delta
621112,Paul Blackburn,over_valued,pitcher,SP,PARK FACTOR,29.0,29-32,463.0,103.66666666666669,1.55,"[1,3]",-0.66,-2.21,0.47,-1.08,4.659999847412109,,-310,True,war_delta
656427,Jack Flaherty,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,658.0,144.33333333333334,0.7899999999999999,"[0,1]",-1.66,-2.4499999999999997,3.31,2.52,3.6700000762939453,,-315,False,war_delta
571945,Miles Mikolas,over_valued,pitcher,SP,PARK FACTOR,34.0,33+,838.0,201.33333333333331,1.92,"[1,3]",-0.57,-2.4899999999999998,-0.48,-2.4,5.349999904632568,,-328,True,war_delta
656302,Dylan Cease,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,759.0,177.0,2.19,"[1,3]",-0.49,-2.6799999999999997,4.03,1.8400000000000003,3.75,,-331,False,war_delta
596295,Austin Gomber,over_valued,pitcher,SP,PARK FACTOR,29.0,29-32,595.0,139.0,0.84,"[0,1]",-2.21,-3.05,2.43,1.5900000000000003,4.75,,-332,False,war_delta
502171,Alex Cobb,over_valued,pitcher,SP,PARK FACTOR,35.0,33+,645.0,151.33333333333334,2.5,"[1,3]",-0.53,-3.0300000000000002,0.22,-2.28,4.090000152587891,,-350,True,war_delta
680686,Josiah Gray,over_valued,pitcher,SP,PARK FACTOR,25.0,25-28,696.0,159.0,3.04,"[3,5]",-0.39,-3.43,-0.54,-3.58,14.039999961853027,,-357,True,war_delta
683011,Anthony Volpe,over_valued,batter,IF,DEFENSE GAP,22.0,<25,597.0,,3.25,"[3,5]",-1.28,-4.53,3.49,0.2400000000000002,,0.6690000295639038,-357,False,war_delta
662139,Daulton Varsho,over_valued,batter,OF,DEFENSE GAP,26.0,25-28,576.0,,3.59,"[3,5]",-1.09,-4.68,4.83,1.2400000000000002,,0.7020000219345093,-362,False,war_delta
669022,MacKenzie Gore,over_valued,pitcher,SP,PARK FACTOR,24.0,<25,580.0,136.33333333333334,1.89,"[1,3]",-0.85,-2.7399999999999998,0.85,-1.04,3.9000000953674316,,-375,True,war_delta
608337,Lucas Giolito,over_valued,pitcher,SP,PARK FACTOR,28.0,25-28,788.0,184.33333333333331,1.58,"[1,3]",-1.24,-2.8200000000000003,,,,,-384,,no_2026_record
607536,Kyle Freeland,over_valued,pitcher,SP,PARK FACTOR,30.0,29-32,650.0,155.66666666666666,1.4,"[1,3]",-2.47,-3.87,0.14,-1.2599999999999998,5.239999771118164,,-402,True,war_delta
668933,Graham Ashcraft,over_valued,pitcher,SP,PARK FACTOR,25.0,25-28,620.0,145.66666666666666,2.56,"[1,3]",-0.88,-3.44,0.28,-2.2800000000000002,5.239999771118164,,-421,True,war_delta
676664,JP Sears,over_valued,pitcher,SP,PARK FACTOR,27.0,25-28,732.0,172.33333333333334,2.9,"[1,3]",-0.87,-3.77,2.25,-0.6499999999999999,4.380000114440918,,-434,True,war_delta
678394,Brayan Bello,over_valued,pitcher,SP,PARK FACTOR,24.0,<25,666.0,157.0,3.14,"[3,5]",-1.19,-4.33,1.18,-1.9600000000000002,4.489999771118164,,-470,True,war_delta
