pitcher_id,n_windows,mean_recon_mse,std_recon_mse,recon_mse,checkpoint_final_recon_loss,pass
150359,2480,0.75554,0.321005,0.75554,0.750425,False
218596,1832,0.830137,0.42417,0.830137,0.764285,False
276542,2348,0.882415,0.359632,0.882415,0.771311,False
279571,2412,0.977662,0.776081,0.977662,0.84682,False
346793,543,0.913112,0.292353,0.913112,0.881565,False
346847,679,0.875209,0.255756,0.875209,0.873541,False
407890,5009,0.739535,0.283192,0.739535,0.723909,False
425626,1163,0.797268,0.240143,0.797268,0.806165,False
429719,5169,0.885138,0.361012,0.885138,0.785822,False
430580,4152,0.759346,0.366523,0.759346,0.741655,False
430630,524,0.856648,0.216837,0.856648,0.845456,False
430641,2684,0.91807,0.272956,0.91807,0.819084,False
432934,4336,0.681646,0.298393,0.681646,0.658291,False
434671,12852,0.862987,0.463252,0.862987,0.646529,False
435400,1686,0.997846,0.469073,0.997846,0.905573,False
444436,944,0.902578,0.494774,0.902578,0.859338,False
444857,4221,0.947985,0.519918,0.947985,0.747956,False
444935,439,0.912318,0.282631,0.912318,0.918717,False
445197,2892,0.852903,0.357129,0.852903,0.745512,False
445612,598,0.901797,0.305537,0.901797,0.934177,False
446099,3285,0.84843,0.351545,0.84843,0.689808,False
446399,2665,0.837525,0.284641,0.837525,0.829275,False
450282,986,0.912728,0.50069,0.912728,0.786783,False
450351,2098,0.614124,0.222809,0.614124,0.591691,False
450665,1569,0.878551,0.405247,0.878551,0.781884,False
451596,8658,0.694151,0.415736,0.694151,0.631843,False
451788,542,0.902399,0.275081,0.902399,0.897742,False
452718,2357,0.813457,0.607365,0.813457,0.73442,False
453172,4613,0.958522,0.308418,0.958522,0.810851,False
453192,5137,0.994361,0.492646,0.994361,0.875633,False
453311,2109,0.893484,0.437639,0.893484,0.765518,False
453329,5954,0.844454,0.329332,0.844454,0.700505,False
456068,6700,0.830763,0.328031,0.830763,0.669147,False
457429,1787,0.973382,0.42139,0.973382,0.90765,False
457754,588,0.981494,0.374895,0.981494,0.879529,False
458681,21503,0.959211,0.406454,0.959211,0.847225,False
462985,1045,0.915242,0.663585,0.915242,0.838965,False
467094,1249,0.745294,0.206653,0.745294,0.76234,False
471911,19785,0.830512,0.342999,0.830512,0.720285,False
474029,1377,0.801102,0.394424,0.801102,0.810068,False
475054,2949,0.994032,0.451209,0.994032,0.867189,False
475115,6729,0.754155,0.444833,0.754155,0.64516,False
475479,5901,0.652449,0.284289,0.652449,0.623092,False
475857,502,1.015717,0.314919,1.015717,0.908348,False
488846,2474,0.863114,0.905851,0.863114,0.834569,False
489119,17112,0.745755,0.357376,0.745755,0.723186,False
489265,5617,0.923472,0.473274,0.923472,0.828413,False
490063,5314,0.928314,0.42898,0.928314,0.756073,False
501381,11008,0.80545,0.246587,0.80545,0.677272,False
502004,2890,0.853526,0.32165,0.853526,0.710292,False
502043,25525,0.766122,0.50861,0.766122,0.590104,False
502264,319,0.909635,0.392434,0.909635,0.889432,False
502304,384,0.863294,0.353039,0.863294,0.886487,False
502578,515,0.946394,0.685024,0.946394,0.872973,False
502624,15653,0.775657,0.291943,0.775657,0.744201,False
517008,7279,0.78559,0.351821,0.78559,0.730607,False
518452,8534,0.920769,0.376466,0.920769,0.750919,False
518468,1744,0.839476,0.438583,0.839476,0.901847,False
518567,2899,0.704059,0.340673,0.704059,0.615502,False
518771,417,0.798278,0.179843,0.798278,0.8093,False
519144,14858,0.829425,0.354254,0.829425,0.709928,False
519151,9366,0.985372,0.593529,0.985372,0.883131,False
519267,1221,0.787695,0.541901,0.787695,0.752246,False
521230,7207,0.858534,0.362874,0.858534,0.780111,False
523989,3866,0.986076,0.618405,0.986076,0.894311,False
534910,3533,0.775512,0.908644,0.775512,0.72075,False
543037,27322,0.777223,0.395868,0.777223,0.709294,False
543242,1075,0.847428,0.554074,0.847428,0.776107,False
543278,3920,0.865475,0.382789,0.865475,0.757706,False
543506,3403,0.986615,0.54047,0.986615,0.856817,False
543508,493,1.018655,0.653409,1.018655,0.872225,False
543548,6887,0.923211,0.668528,0.923211,0.838858,False
543746,1338,0.965538,0.319773,0.965538,0.868388,False
543900,544,0.935178,0.538168,0.935178,0.866812,False
543935,3865,0.971578,0.451179,0.971578,0.879825,False
543964,821,0.994386,0.25,0.994386,0.876522,False
545064,1140,0.995108,0.39082,0.995108,0.972955,False
547179,15970,0.854258,0.57286,0.854258,0.542832,False
548357,2224,0.96771,0.404592,0.96771,0.808576,False
554234,2709,0.788772,0.269881,0.788772,0.837859,False
554340,6673,0.893459,0.469759,0.893459,0.774112,False
571439,426,0.968242,0.586855,0.968242,0.887928,False
571561,2608,0.947309,0.397883,0.947309,0.883649,False
571584,591,0.99664,0.277244,0.99664,0.975248,False
571760,18017,0.793257,0.428112,0.793257,0.636908,False
571901,5532,0.896447,0.450627,0.896447,0.786,False
572038,481,0.943013,0.391215,0.943013,0.899894,False
572070,9465,0.738278,0.337918,0.738278,0.608014,False
572362,3171,0.983628,0.722038,0.983628,0.902992,False
572403,3989,0.891874,0.349635,0.891874,0.829903,False
572788,1193,0.991101,0.575417,0.991101,0.889719,False
572888,5776,0.880635,0.397739,0.880635,0.764085,False
573127,1251,1.003521,0.401069,1.003521,0.903577,False
592314,11813,0.936027,0.44519,0.936027,0.812796,False
592717,10403,0.993232,0.531575,0.993232,0.875399,False
592826,12398,0.919989,0.432576,0.919989,0.798508,False
593372,12328,0.783412,0.294734,0.783412,0.683825,False
594736,2457,0.70298,0.404458,0.70298,0.673758,False
595307,1615,0.82451,0.38836,0.82451,0.734926,False
605135,20414,0.892395,0.382273,0.892395,0.770356,False
605151,7959,0.936662,0.394231,0.936662,0.898192,False
605169,617,0.996355,0.647466,0.996355,0.908975,False
605309,3530,0.869785,0.373202,0.869785,0.733731,False
605333,280,0.995261,0.501215,0.995261,0.905211,False
605374,443,0.88682,0.233945,0.88682,0.887104,False
605476,1499,0.935609,0.27432,0.935609,0.839079,False
605894,1147,0.959251,0.274775,0.959251,0.819934,False
612434,7378,0.994906,0.501543,0.994906,0.904823,False
621121,13631,0.762735,0.334308,0.762735,0.645065,False
622072,15644,0.729094,0.237097,0.729094,0.685659,False
640455,19285,1.00447,0.392623,1.00447,0.966443,False
